"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1,D4,D7,D10","4","LED","","","","LED_THT:LED_D3.0mm",""
"D2,D5,D8,D11","4","Red","","","","LED_THT:LED_D3.0mm",""
"D3,D6,D9,D12","4","Green","","","","LED_THT:LED_D3.0mm",""
"J1","1","","","","","USR:BUS_XT",""
"J2,J3,J4,J5","4","JST","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"M1,M2,M3,M4","4","MD13B","","","","USR:MD31B","https://www.pololu.com/product/2995"
"Q1,Q2,Q3,Q4","4","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R4,R5,R8,R9,R12,R13,R16","8","5K1","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R3,R6,R7,R10,R11,R14,R15","8","510R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"TH1,TH2,TH3,TH4","4","Thermistor_US","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
